cytoband	8p22	9p21.3	18q21.2	8p11.22	22q13.33	16p13.3	4q34.3	1p36.31	20p12.3	21q21.1	10q25.1	17p13.3	15q12	3p26.1	6q26	16q24.1	19q11	17p12	11q22.1	11p11.2	2q22.1	
	hsa-mir-598		hsa-mir-302f		SBF1		DCTD	hsa-mir-1302-2	BMP2	C21orf91	hsa-mir-609	hsa-mir-22	hsa-mir-1268	hsa-mir-4272	hsa-mir-548b	AP1G1	LOC148189	hsa-mir-1253	hsa-mir-1261	CHST1	hsa-mir-3132	
	hsa-mir-1322		ATP5A1		PPP6R2		F11	RERE	CDC25B	CHODL	hsa-mir-936	hsa-mir-3183	hsa-mir-3118-6	hsa-mir-135a-1	hsa-mir-587	AFG3L1P	ZNF98	hsa-mir-212	hsa-mir-3166	API5	hsa-mir-153-1	
	hsa-mir-4286		BCL2		SCO2		ACSL1	CA6	CENPB	C21orf91-OT1	hsa-mir-1307	ABR	hsa-mir-3118-4	hsa-mir-566	hsa-mir-2113	AGRP	ZNF681	hsa-mir-22	ACAT1	PEX16	hsa-mir-3131	
	hsa-mir-124-1		CDH7		RABL2B		FAT1	CAPZB	CHGB	D21S2088E	hsa-mir-146b	ACADVL	ACTC1	hsa-mir-4271	hsa-mir-4282	APRT	ZNF676	hsa-mir-3183	ACRV1	MAPK8IP1	hsa-mir-26b	
	hsa-mir-597		CYB5A		MAPK8IP2		FRG1	CASP9	CSNK2A1	LINC00317	hsa-mir-3158-1	ADORA2B	APBA2	hsa-mir-191	hsa-mir-30a	ZFHX3	ZNF675	ABR	BIRC2	TP53I11	hsa-mir-548f-2	
	hsa-mir-548i-3		DCC		PLXNB2		GPM6A	TNFRSF8	FKBP1A	LINC00320	hsa-mir-608	ALOX12	B2M	hsa-mir-711	hsa-mir-30c-2	C16orf3	RPSAP58	ACADVL	BIRC3	FJX1	hsa-mir-1302-4	
	hsa-mir-596		DSC1		NCAPH2		HMGB2	CDK11B	GNRH2	C21orf37	hsa-mir-1287	ALOX12B	NBEAP1	hsa-mir-2115	hsa-mir-548u	CA5A	LOC440518	ADORA2B	APLP2	PAMR1	hsa-mir-2355	
	NAT1		DSC2		MIOX		HPGD	CLCN6	IDH3B		hsa-mir-607	ALOX12P2	BUB1B	hsa-mir-1226	hsa-mir-133b	CA7	ZNF724P	ALOX12	APOA1	COMMD9	hsa-mir-3130-4	
	NAT2		DSC3		ADM2		HSP90AA4P	CLCNKA	INSM1		hsa-mir-3157	ALOX15	CAPN3	hsa-mir-564	hsa-mir-586	CALB2	ZNF726	ALOX12B	APOA4	HSD17B12	hsa-mir-3129	
	ADRA1A		DSG1		SHANK3		ING2	CLCNKB	ITPA		hsa-mir-107	ALOX15B	CHRM5	hsa-mir-138-1	hsa-mir-1275	CBFA2T3	LOC100101266	ALOX12P2	APOC3	PHF21A	hsa-mir-1245	
	ANGPT2		DSG2		LMF2		IRF2	CORT	OXT		hsa-mir-346	ARRB2	CHRNA7	hsa-mir-26a-1	hsa-mir-219-1	CBFB	ZNF729	ALOX15	ARCN1	TRIM44	hsa-mir-561	
	ASAH1		DSG3		KLHDC7B		KLKB1	DFFA	PCNA		ACADSB	ASGR1	CKMT1B	hsa-mir-128-2	hsa-mir-1236	CDH1		ALOX15B	ATM	SLC35C1	hsa-mir-1258	
	ATP6V1B2		DTNA		RPL23AP82		MTNR1A	DFFB	PCSK2		ACTA2	ASGR2	EPB42	hsa-mir-466	hsa-mir-877	CDH3		ARRB2	FXYD2	TTC17	hsa-mir-3128	
	BLK		FECH		CHKB-CPT1B		NEK1	DVL1	PDYN		ADAM8	ASPA	GABRA5	hsa-mir-3135	hsa-mir-3143	CDH13		ASGR1	CXCR5	PRDM11	hsa-mir-1246	
	BMP1		KDSR		FAM116B		TLR3	MEGF6	PLCB4		ADD3	ATP1B2	GABRB3	hsa-mir-563	hsa-mir-548a-1	CDH15		ASGR2	CASP1	SYT13	hsa-mir-10b	
	POLR3D		GALR1		ODF3B		VEGFC	EPHA2	PRNP		ADRA2A	ATP2A3	GABRG3	hsa-mir-3134	ABCF1	CDH16		ASPA	CASP4	LRRC4C	hsa-mir-933	
	BNIP3L		GALNT1		SYCE3		GLRA3	ENO1	PTPRA		ADRB1	C1QBP	GANC	hsa-mir-4270	ACAT2	COX4I1		ATP1B2	CASP5	ALX4	hsa-mir-128-1	
	CHRNA2		GRP		LOC100144603		SORBS2	MTOR	RRBP1		ANXA11	CD68	GCHFR	hsa-mir-885	CRISP1	CTRB1		ATP2A3	CBL	PRR5L	hsa-mir-663b	
	CLU		LMAN1				SAP30	GABRD	SIGLEC1		FAS	CHD3	PDIA3	ACAA1	AGER	CTRL		C1QBP	CD3D	ACCS	hsa-mir-1302-3	
	CTSB		SMAD2				HAND2	GNB1	SNAP25		ARL3	CHRNB1	IPW	ACVR2B	AIF1	CYBA		CD68	CD3E	TSPAN18	hsa-mir-4267	
	DEFA1		SMAD4				MFAP3L	ZBTB48	SNRPB		BMPR1A	CHRNE	ITPKA	ACY1	AIM1	DHODH		CHD3	CD3G	CREB3L1	hsa-mir-4266	
	DEFA3		SMAD7				ADAM29	TNFRSF9	SNRPB2		BNIP3	COX10	IVD	ADCY5	AMD1	NQO1		CHRNB1	CTSC	C11orf74	hsa-mir-4265	
	DEFA4		MBD1				ANXA10	MFAP2	SOX12		CASP7	CLDN7	LTK	ADPRH	ARG1	DYNC1LI2		CHRNE	CHEK1	GYLTL1B	hsa-mir-3127	
	DEFA5		MBP				SCRG1	MTHFR	TCF15		ENTPD1	CRK	MAP1A	ALAS1	ATP6V1G2	DPEP1		COX10	CRYAB	LDLRAD3	hsa-mir-4264	
	DEFA6		MC4R				DUX4	NPPA	TGM3		CHUK	CTNS	MEIS2	ALCAM	BAI3	E2F4		CLDN7	DDX6	C11orf94	hsa-mir-1285-2	
	DEFB1		ME2				PALLD	NPPB	ZNF133		ABCC2	DLG4	MFAP1	AMT	BAK1	FANCA		CRK	DDX10	ALKBH3	hsa-mir-3126	
	DEFB4A		MEP1B				FAM149A	PAX7	MKKS		COL17A1	DNAH9	TRPM1	APEH	BCKDHB	FOXF1		CTNS	DLAT	LOC221122	hsa-mir-216b	
	DPYSL2		MYO5B				FBXO8	PEX10	ATRN		COX15	DPH1	NDN	ARF4	CFB	FOXL1		DLG4	DPAGT1	DKFZp779M0652	hsa-mir-559	
	DUSP4		NARS				DUX2	PEX14	CDS2		CPN1	DVL2	OCA2	RHOA	PRDM1	FOXC2		DNAH9	DRD2	C11orf96	hsa-mir-558	
	EGR3		NFATC1				PDLIM3	PGD	PSMF1		CTBP2	EFNB3	PLCB2	ATP2B2	BMP5	GALNS		DPH1	ETS1	ACCSL	hsa-mir-4263	
	EPB49		SERPINB2				AADAT	PIK3CD	SNPH		CYP2C19	EIF4A1	RAD51	ATP6V1A	BMP6	GAS8		DRG2	FDX1	HNRNPKP3	hsa-mir-1301	
	EPHX2		ATP8B1				GALNT7	PLOD1	ProSAPiP1		CYP2C8	EIF5A	RYR3	BTD	DST	GCSH		DVL2	FLI1	MIR129-2	hsa-mir-3125	
	CLN8		SERPINB5				CLDN22	EXOSC10	RASSF2		CYP2C9	ENO3	SCG5	C3orf51	BPHL	GLG1		EFNB3	FUT4	LOC729799	hsa-mir-4262	
	EXTL3		SERPINB8				C4orf27	PRKCZ	SLC23A2		CYP2C18	FGF11	SNRPN	CACNA1D	BTN1A1	HAS3		EIF4A1	SLC37A4	MIR670	hsa-mir-548s	
	PTK2B		SERPINB10				NEIL3	RPL22	SIRPB1		CYP2E1	GP1BA	SORD	SLC25A20	BYSL	HP		EIF5A	GRIA4	LOC100507205	hsa-mir-4261	
	FDFT1		SERPINB13				UFSP2	RSC1A1	SEC23B		CYP17A1	GPS2	SPINT1	CAMP	C2	HPR		ENO3	GRIK4	LOC100507300	AAMP	
	FGL1		PIK3C3				DDX60	SCNN1D	NOP56		CYP26A1	GUCY2D	SRP14	CASR	C4A	HSBP1		FGF11	GRM5	MIR3973	ACADL	
	GATA4		PMAIP1				CDKN2AIP	SDHB	RBCK1		DMBT1	HIC1	THBS1	CAV3	C4B	HSD11B2		FOXO3B	GUCY1A2		ACP1	
	GFRA2		MAPK4				ODZ3	SKI	POLR3F		DNTT	ITGAE	TJP1	CBLB	DDR1	HSD17B2		FLII	H2AFX		ACTG2	
	GNRH1		RAB27B				LRP2BP	SLC2A5	RBBP9		DOCK1	MEIS3P1	TP53BP1	CCK	RUNX2	HSF4		GP1BA	HMBS		ACVR1	
	GSR		RIT2				STOX2	SRM	DSTN		DUSP5	MNT	TYRO3	CD80	CCNC	IRF8		GPS2	HSPA8		ACVR2A	
	GTF2E2		RPL17				KIAA1430	TNFRSF1B	RNF24		ECHS1	MYH1	UBE3A	CD86	CCND3	KARS		GUCY2D	HSPB2		ACYP2	
	NRG1		SERPINB3				SH3RF1	TP73	UBOX5		EMX2	MYH2	MKRN3	ENTPD3	CDC5L	LCAT		HIC1	HTR3A		ADCY3	
	LOXL2		SERPINB4				SPCS3	TNFRSF4	BTBD3		FGF8	MYH3	PAR5	CD47	CDKN1A	MAF		ITGAE	IL10RA		ADD2	
	LPL		SLC14A1				TRAPPC11	ZBTB17	PLCB1		FGFR2	MYH4	EIF3J	CDC25A	CDSN	MC1R		LLGL1	IL18		ADRA2B	
	MSR1		SYT4				MLF1IP	PRDM2	PRND		GFRA1	MYH8	JMJD7-PLA2G4B	CISH	CGA	CHST6		MEIS3P1	STT3A		AGXT	
	MSRA		TCF4				NBLA00301	MMP23B	FLRT3		GLUD1	MYH10	SNAP23	CCR1	CLIC1	MVD		MNT	KCNJ1		ALK	
	NEFM		TTR				WWC2	MMP23A	LAMP5		GOT1	MYO1C	HERC2	CCR3	CLPS	NFATC3		MYH1	KCNJ5		ALPI	
	NEFL		ZNF24				CEP44	KCNAB2	SPEF1		PRLHR	NUP88	SNURF	CCR4	CCR6	CHMP1A		MYH2	VWA5A		ALPP	
	NKX3-1		ZNF236				SNX25	AKR7A2	C20orf194		GPR26	OR1D2	SLC28A2	CCR5	CNR1	PLCG2		MYH3	MCAM		ALPPL2	
	PCM1		SLC14A2				CBR4	ALDH4A1	C20orf26		GRK5	OR3A1	TGM5	CCR8	COL9A1	PSKH1		MYH4	MLL		BIN1	
	PDGFRL		SERPINB7				MGC45800	TNFRSF25	SNORD57		GRID1	OR3A2	PPIP5K1	CCBP2	COL10A1	PSMB10		MYH8	MMP1		ANXA4	
	PNOC		NOL4				DDX60L	TNFRSF14	SNORD56		HABP2	P2RX1	AQR	COL7A1	COL11A2	PSMD7		MYH10	MMP3		AOX1	
	PPP2CB		TNFRSF11A				WDR17	TNFRSF18	SDCBP2		HELLS	P2RX5	ARHGAP11A	COL8A1	COL12A1	RPL13		MYO1C	MMP7		APOB	
	PPP2R2A		MBD2				ZFP42	PER3	SNX5		HHEX	PAFAH1B1	LCMT2	CPOX	COL19A1	RRAD		NUP88	MMP8		RHOB	
	PPP3CC		PSTPIP2				SPATA4	DHRS3	C20orf30		HMX2	SERPINF1	SLC12A6	CSTA	COX7A2	ST3GAL2		OR1D2	MMP10		RND3	
	SFTPC		PIAS2				ENPP6	VAMP3	HSPC072		TLX1	PER1	RASGRP1	CTNNB1	ATF6B	SLC9A5		OR3A1	MMP12		ATIC	
	SLC7A2		CTDP1				ASB5	H6PD	NAA20		HPS1	PFAS	SERF2	CX3CR1	MAPK14	SLC12A4		OR3A2	MMP13		ATP5G3	
	SLC18A1		SOCS6				C4orf38	ISG15	CRNKL1		HTR7	PFN1	GPR176	CYP8B1	CSNK2B	SNTB2		P2RX1	MRE11A		ATP6V1B1	
	STC1		B4GALT6				RWDD4	PLCH2	ANGPT4		IDE	PITPNA	CHP	DAG1	CTGF	SPG7		P2RX5	MTNR1B		KIF1A	
	WRN		TXNL1				CCDC111	CROCC	ESF1		IFIT2	PLD2	OIP5	DAZL	CYP21A2	TAT		PAFAH1B1	NCAM1		AUP1	
	FZD3		LIPG				TRIML2	CEP104	TRMT6		IFIT1	SERPINF2	BAHD1	DNASE1L3	CYP21A1P	TERF2		SERPINF1	NFRKB		BARD1	
	TUSC3		ONECUT2				CCDC110	KLHL21	HAO1		IFIT3	PMP22	FAN1	DOCK3	DAXX	ZNF19		PER1	NNMT		BCS1L	
	UBXN8		VPS4B				CYP4V2	SLC35E2	RIN2		INPP5A	POLR2A	MAPKBP1	DRD3	DNAH8	ZNF23		PFAS	NPAT		BMPR2	
	TNKS		ZNF516				LOC285441	MFN2	SMOX		KIF11	PSMB6	GOLGA8A	DUSP7	DOM3Z	GAN		PFN1	NRGN		BOK	
	ADAM7		CTIF				LOC285501	ANGPTL7	CRLS1		ABLIM1	RCVRN	RTF1	CELSR3	DSP	SLC7A5		PITPNA	OPCML		ZFP36L2	
	TNFRSF10D		TSHZ1				LOC339975	UBE4B	C20orf27		LIPA	RPA1	CYFIP1	EPHA3	E2F3	CDK10		PLD2	PAFAH1B2		BUB1	
	TNFRSF10C		ACAA2				TRIML1	MAD2L2	DZANK1		MAT1A	RPL26	MGA	FANCD2	EDN1	TRADD		SERPINF2	PGR		CACNB4	
	TNFRSF10B		CD226				ANKRD37	PDPN	SPTLC3		MGMT	SCO1	VPS39	FBLN2	EEF1A1	MBTPS1		PMP22	POU2AF1		CAD	
	TNFRSF10A		ZNF271				LOC389247	MASP2	C20orf29		MKI67	MAP2K4	FAM189A1	FHIT	SERPINB1	CES2		POLR2A	PPP2R1B		CALM2	
	FGF17		MALT1				HELT	UTS2	TMEM74B		MXI1	SHBG	CCNDBP1	FLNB	SLC29A1	NAE1		PRPSAP2	PTS		CAPG	
	DOK2		TXNL4A				LOC401164	RER1	SIRPG		NDUFB8	SLC2A4	C15orf2	GAP43	EPB41L2	NOL3		PSMB6	PVRL1		CASP8	
	MTMR7		MAPRE2				FAM92A3	MST1P2	FERMT1		NFKB2	SOX15	C15orf63	GBE1	EPHA7	TAF1C		RCVRN	RDX		CASP10	
	MYOM2		POLI				HSP90AA6P	MST1P9	KIF16B		NRAP	VAMP2	TMEM87A	GLB1	EYA4	SLC7A6		RPA1	RPS25		CCNT2	
	DLGAP2		ADNP2				C4orf47	PADI2	TASP1		OAT	TP53	RPAP1	GNAI2	ESR1	USP10		RPL26	SC5DL		CD8A	
	MFHAS1		TRAPPC8				DUX4L4	PARK7	PLK1S1		PAX2	UBE2G1	DKFZP434L187	GNAT1	F13A1	ATP6V0D1		SCO1	SCN2B		CD8B	
	ENTPD4		PHLPP1				GALNTL6	CTRC	NSFL1C		PDE6C	TRPV1	GREM1	GOLGA4	FABP7	BCAR1		MAP2K4	SCN4B		CD28	
	ARHGEF10		NEDD4L				FRG2	ACOT7	TMX4		PGAM1	YWHAE	RPUSD2	GOLGB1	FANCE	C16orf7		SHBG	SDHD		CENPA	
	PHYHIP		WDR7				SLED1	CLSTN1	GPCPD1		PITX3	ZNF18	TUBGCP4	XCR1	FKBP5	KIAA0513		SHMT1	ST3GAL4		CHN1	
	KBTBD11		PIGN				FLJ38576	AKR7A3	CPXM1		PNLIP	ZNF232	EHD4	GPR15	FOXF2	PIEZO1		SLC2A4	SLN		CHRNA1	
	SORBS3		SLC39A6				DUX4L6	SPEN	OTOR		PNLIPRP1	OR1A1	DUOX2	GPR27	FOXC1	DHX38		SOX15	SORL1		CHRND	
	NPM2		RTTN				DUX4L5	KIAA0090	PAK7		PNLIPRP2	OR1D5	NDUFAF1	GPX1	FOXO3	IST1		SREBF1	SRPR		CHRNG	
	DLC1		TPGS2				DUX4L3	KIF1B	RALGAPA2		PPP1R3C	OR1E1	NUSAP1	GRM2	FRK	ATP2C2		VAMP2	ST14		CLK1	
	SPAG11B		SETBP1				LINC00290	PLEKHM2	CSRP2BP		HTRA1	OR1E2	TMEM85	GRM7	FUCA2	CLEC3A		TOP3A	TAGLN		CNGA3	
	DCTN6		KCNG2				LOC728175	KAZN	SLC24A3		PSD	OR1G1	SPTBN5	GSK3B	FYN	CHST4		TP53	TECTA		COL3A1	
	PNMA2		SNORD58B				DUX4L2	CAMTA1	MAVS		PTEN	OR3A3	CTDSPL2	GTF2E1	GABBR1	MPHOSPH6		UBB	THY1		COL4A3	
	ADAM28		SNORD58A				LOC731424	DNAJC16	EBF4		PTPRE	SLC25A11	KLF13	HCLS1	GABRR1	NUTF2		UBE2G1	TRPC6		COL4A4	
	RBPMS		SALL3				CLDN24	UBR4	TRIB3		ALDH18A1	DOC2B	DUOX1	HGD	GABRR2	COX4NB		TRPV1	TYR		COL5A2	
	LZTS1		CDH20				LOC100288255	ATP13A2	OVOL2		RBP4	GAS7	MAGEL2	HRH1	GCNT2	TUBB3		YWHAE	UPK2		COL6A3	
	XPO7		CDH19				MIR1305	TARDBP	FASTKD5		RGR	SCARF1	DLL4	HTR1F	GJA1	CFDP1		ZNF18	ZBTB16		COX5B	
	TRIM35		TIMM21				MIR4276	ICMT	ANKRD5		RGS10	TNK1	INO80	HYAL1	GCLC	CTCF		ZNF232	ZNF202		CPS1	
	RHOBTB2		ST8SIA5				MIR3945	PADI4	GFRA4		SCD	MYH13	PPP1R14D	IL5RA	GLO1	NFAT5		OR1A1	CUL5		CREB1	
	KIF13B		RAX				LOC100506085	CHD5	VPS16		SFRP5	TNFSF13	MTMR10	IMPDH2	GLP1R	WWP2		OR1D5	BARX2		ATF2	
	PSD3		CXXC1				LOC100506122	C1orf144	FAM113A		SFTPD	TNFSF12	ZNF770	IRAK2	GMDS	PRDM7		OR1E1	JRKL		CRYBA2	
	LEPROTL1		ST8SIA3				LOC100506229	NOC2L	MRPS26		FBXW4	TM4SF5	HAUS2	ITGA9	GMPR	DDX19B		OR1E2	ZNF259		CRYGA	
	SLC39A14		IER3IP1					FBXO2	DDRGK1		SLC18A2	USP6	FAM82A2	ITIH1	GNL1	GABARAPL2		OR1G1	MTMR2		CRYGB	
	FBXO25		TCEB3B					FBXO6	C20orf7		SLIT1	RABEP1	DNAJC17	ITIH3	GPLD1	MON1B		OR3A3	USP2		CRYGC	
	FGF20		MEX3C					OR4F3	ZNF343		SNCG	KCNAB3	NOP10	ITIH4	GPR6	TCF25		SLC25A11	PCSK7		CRYGD	
	ADAMDEC1		RNF138					HSPB7	NRSN2		TAF5	AURKB	NDNL2	ITPR1	GPR31	PHLPP2		DOC2B	HTR3B		CTLA4	
	CNOT7		TMX3					ARHGEF16	PANK2		TCF7L2	GLP2R	C15orf24	KPNA1	GPX5	ZCCHC14		GAS7	ZW10		CTNNA2	
	PURG		DYM					SSU72	ADAM33		TECTB	NTN1	PAK6	LAMB2	GRIK2	KIAA0182		COPS3	MMP20		CYP1B1	
	ZDHHC2		ZCCHC2					UBIAD1	SEL1L2		TIAL1	STX8	CASC5	RPSA	GRM1	ATMIN		SCARF1	UBE4A		CYP27A1	
	SLC25A37		RNF125					PADI1	DEFB126		TLL2	RPH3AL	AVEN	LSAMP	GRM4	COTL1		TNK1	MED17		DARS	
	SCARA3		MOCOS					WRAP73	FAM110A		UROS	FXR2	ATP10A	LTF	GSTA1	MLYCD		MYH13	EI24		DBI	
	TMEM66		RPRD1A					SLC45A1	SLC4A11		WNT8B	MPDU1	GJD2	MAP4	GSTA2	SF3B3		TNFSF13	FEZ1		DCTN1	
	KCTD9		ZNF532					CELA2B	MCM8		XPNPEP1	SPAG7	STARD9	MITF	GSTA3	CES3		TNFSF12	CEP57		DDX1	
	PINX1		ELP2					SDF4	ZCCHC3		SHOC2	ACAP1	VPS18	MLH1	GSTA4	ADAT1		TM4SF5	ARHGAP32		DES	
	PIWIL2		ELAC1					MRTO4	SCRT2		ADAM12	KIAA0753	ZFP106	MOBP	GTF2H4	CHST5		USP6	C2CD2L		DGUOK	
	ELP3		ZNF407					PADI3	C20orf72		UTF1	SGSM2	CHAC1	CD200	GUCA1A	EDC4		RABEP1	NAALAD2		LOC1720	
	INTS10		CNDP2					ERRFI1	DTD1		MBL1P	ARHGAP44	C15orf29	MST1	GUCA1B	PLA2G15		KCNAB3	RBM7		DLX1	
	CCDC25		CELF4					FBXO42	C20orf54		LIPF	HS3ST3B1	WDR76	MST1R	HIST1H1C	COG4		AURKB	MPZL2		DLX2	
	AGPAT5		KIAA1328					MXRA8	HSPA12B		EIF3A	HS3ST3A1	TMEM62	MYD88	HIST1H1D	PLEKHG4		GLP2R	YAP1		DNAH6	
	INTS9		KLHL14					HES2	TMC2		GBF1	CLEC10A	SPG11	MYL3	HIST1H1E	LRRC29		NTN1	HYOU1		DYNC1I2	
	CSGALNACT1		KIAA1468					FBLIM1	TBC1D20		LDB1	MYBBP1A	ELL3	MYLK	HIST1H1B	CPNE7		STX8	ATP5L		DNMT3A	
	HR		EPG5					PQLC2	SIRPD		BTRC	PRPF8	NIPA2	NDUFB4	HIST1H1T	VPS4A		PIGL	GPR83		DOK1	
	PBK		FAM59A					CASZ1	C20orf141		CH25H	TRIM16	C15orf41	NKTR	HIST1H2AE	IL17C		RPH3AL	SRSF8		DPP4	
	ZNF395		CCDC102B					CPSF3L	PROKR2		PKD2L1	KIF1C	ZFYVE19	OGG1	HIST1H2AD	NOB1		FXR2	ADAMTS8		DTNB	
	DEFB103B		RBFA					C1orf159	C20orf94		BTAF1	GABARAP	FRMD5	OXTR	HIST1H2BD	TMEM208		MPDU1	TREH		DTYMK	
	BIN3		PQLC1					AURKAIP1	C20orf96		PAPSS2	NLRP1	DISP2	CNTN3	HIST1H2BB	FHOD1		SPAG7	CEP164		DUSP2	
	TEX15		FHOD3					MRPL20	MACROD2		INA	ARHGEF15	CHRFAM7A	PDHB	HIST1H1A	ANKRD11		NCOR1	IGSF9B		E2F6	
	MTUS1		CCDC68					TMEM51	SRXN1		PDLIM1	RAP1GAP2	ULK4P3	PFKFB4	HCRTR2	ZDHHC1		CCDC144A	ENDOD1		EEF1B2	
	KIAA1456		ASXL3					ARHGEF10L	BANF2		SMC3	CAMTA2	ULK4P1	PLCD1	HDAC2	OSGIN1		ACAP1	EXPH5		EGR4	
	KIAA1967		NETO1					VPS13D	DEFB127		NEURL	KDM6B	ARHGAP11B	PLXNB1	HFE	PARD6A		KIAA0753	PHLDB1		EMX1	
	SH2D4A		KATNAL2					ATAD3A	C20orf79		BUB3	ZZEF1	ATPBD4	POU1F1	HIVEP1	NIP7		SGSM2	SIK2		EN1	
	PDLIM2		C18orf21					PANK4	ISM1		LGI1	KIAA0664	C15orf57	PPARG	HIVEP2	FAM96B		ARHGAP44	NCAPD3		EPAS1	
	CSMD1		MRO					NBPF1	DEFB129		NOLC1	SMG6	C15orf23	PRKAR2A	HLA-A	GINS2		HS3ST3B1	ARHGEF12		EPHA4	
	EBF2		HDHD2					NECAP2	SIRPA		GSTO1	WSCD1	BMF	PRKCD	HLA-B	TPPP3		HS3ST3A1	SIK3		ERBB4	
	FAM160B2		ZNF397					DNAJC11	STK35		BAG3	CTDNEP1	SHF	PROS1	HLA-C	TRAPPC2L		PEMT	VSIG2		ERCC3	
	MTMR9		PARD6G					RCC2	PRNT		MINPP1	PIK3R5	DUOXA1	PTH1R	HLA-DMA	WWOX		CLEC10A	BACE1		FABP1	
	DUSP26		CNDP1					AJAP1	LOC149837		KIF20B	C17orf81	SNORD107	PTPRG	HLA-DMB	BCMO1		MYBBP1A	TRIM29		ACSL3	
	HMBOX1		SERPINB12					CTNNBIP1	C20orf196		SH3PXD2A	SHPK	CHST14	QARS	HLA-DOA	TERF2IP		FBXW10	RAB38		FAP	
	MCPH1		SERPINB11					AGTRAP	LRRN4		FAM53B	AIPL1	CASC4	RAB5A	HLA-DOB	PRMT7		PRPF8	CADM1		EFEMP1	
	PPP1R3B		SEC11C					TP73-AS1	DEFB125		SLK	RNF167	TUBGCP5	RAF1	HLA-DPA1	NECAB2		TRIM16	PANX1		FHL2	
	RNF122		DSEL					PLEKHG5	DEFB128		ZNF518A	SENP3	TGM7	RARB	HLA-DPB1	KLHDC4		RAI1	POU2F3		FKBP1B	
	NUDT18		HAUS1					LRRC47	SIRPB2		DCLRE1A	OR1A2	CATSPER2	SNORA62	HLA-DPB2	HYDIN		KIF1C	HINFP		FN1	
