cytoband	1q21.3	14q13.2	3q26.31	5p15.2	7p21.1	19q13.12	8q24.21	1q42.3	3q28	8q24.3	5p13.2	14q12	10q22.1	11q14.1	22q11.21	17q23.1	10q21.3	20q13.13	15q26.1	4p14	7q11.23	1q24.2	1q22	7p11.2	14q24.1	6p24.2	20q11.21	11p13	8q22.1	17q25.3	9p24.2	12p13.33	15q25.3	8q11.21	2p15	18p11.31	17q12	6q12	7q32.3	4q12	17q21.31	3q22.3	17p11.2	2q24.2	2q33.2	8q22.2	14q21.3	11q13.2	13q22.1	10p11.22	8q21.11	7p21.3	3q25.1	2p22.1	17q11.1	2p22.3	15q26.3	1q23.3	8q13.1	1q31.1	
																																																												TMEM81	
																																																												LOC401980	
																																																												APOBEC4	
																																																												MIR181B1	
																																																												MIR181A1	
																																																												MIR29B2	
																																																												MIR29C	
																																																												RGS21	
																																																												LOC440704	
																																																												C1orf186	
																																																												MIR135B	
																																																												C1orf98	
																																																												LOC641515	
																																																												TMEM183B	
																																																												SNORA77	
																																																												FAM72A	
																																																												LOC730227	
																																																												LOC100131234	
																																																												LOC100288079	
																																																												MIR1231	
																																																												MIR1278	
																																																												MIR548F1	
																																																												ZBED6	
																																																												KDM5B-AS1	
																																																												MIR4735	
