cytoband	1q21.3	14q13.2	5p15.2	7p21.1	8q24.21	14q12	1q42.3	8q24.3	11q14.1	17q23.3	15q26.1	1q24.2	3q28	17q25.3	1q22	4p14	11p13	8q11.21	5p13.2	19q13.12	4q12	22q11.21	10q22.1	14q24.1	17q12	3q22.3	20q13.13	6q12	17q11.1	6p24.2	14q21.3	1q24.3	2q24.2	12p13.33	10p11.22	7p11.2	7q32.3	17q21.31	7p21.3	11q13.2	20q13.2	22q12.2	15q25.3	8p22	20q11.21	1q32.2	8q22.1	1q23.3	3q25.1	8q22.2	8q21.11	10q21.3	
	MCL1	EAPP				NUBPL			C11orf67	METTL2A				GCGR	CHRNB2	TLR6	APIP			HAUS5	REST	GP1BB	NDST2		TCAP	CEP70			SDF2		ATP5S	C1orf9	GPD2	ADIPOR2	ZEB1			KIAA1267		LRP5			SCAND2		BCL2L1	IL19	INTS8	COPA		SPAG1	LOC100128126		
	PI4KB	SNX6				C14orf126			RSF1	MIR548W				UTS2R	CKS1B	LIAS	MIR1343			GAPDHS	SGCB	SERPIND1	SEC24C		STARD3	ESYT3			SUPT6H		ATL1	METTL13	GRB14	WNT5B	CUL2			RPRML		NDUFV1			ZSCAN2		DNMT3B	IL20	PLEKHF2	FCER1G		STK3			
	PSMB4	BRMS1L				MIR624			USP35					GPS1	CLK2	TBC1D1				ZBTB32	SPINK2	PI4KA	SPOCK2		CDK12	DZIP1L			TNFAIP1		NIN	C1orf105	ITGB6	CCDC77	NRP1			LRRC37A2		NDUFS8			ALPK3		E2F1	YOD1	TP53INP1	FCGR2A		KLF10			
	PSMD4	INSM2				LOC100506071			KCTD14					FOXK2	CRABP2	PDS5A				PSENEN	SRP72	SEPT5	MICU1		PLXDC1	NME9			VTN		SAV1	MIR199A2	LRP2	CACNA2D4	ABI1			LOC644246		PC			KLHL25		EPB41L1	C1orf116	C8orf38	FCGR2B		YWHAZ			
	RFX5	SPTSSA							ALG8					MAFG	EFNA1	KLHL5				LIN37	CLOCK	RANBP1	ECD		PPP1R1B	PRR23B			FOXN1		METTL21D	MIR214	LY75	FBXL14	YME1L1			NSFP1		PPP1CA			WDR73		FOXS1	FCAMR	C8orf37	FCGR3A		RNF19A			
	VPS72	RALGAPA1							NARS2					P4HB	EFNA3	KLF3				RBM42	CEP135	SLC7A4	KIAA0913		MIEN1	C3orf72			KSR1		L2HGDH	MIR3120	NR4A2	B4GALNT3	ANKRD26			ARL17B		PTPRCAP			MIR1276		GGT7		DPY19L4	FCGR3B		RGS22			
	TUFT1	IGBP1P1							INTS4					PDE6G	EFNA4	RBM47				IGFLR1	PAICS	TBX1	DNAJC9		FBXL20	PRR23A			SLC13A2		KLHDC1	LOC100506023	RBMS1	IQSEC3	RAB18					RAD9A					GHRH		C8orf69	HSPA6		PABPC1			
	PIP5K1A	FAM177A1							GDPD4					PYCR1	FDPS	CHRNA9				DMKN	NMU	ZNF74	NUDT13		PGAP3				UNC119		C14orf183	DNM3OS	SCN1A	LOC574538	PDSS1					RBM4					GSS		LOC100288748	HSPA7		RRM2B			
	ANXA9								AQP11					PCYT2	GBA	N4BP2				HSPB6	DCUN1D4	LZTR1	AP3M1		FLJ43826				TIAF1		C14orf182		SCN2A	FAM138D	BAMBI					RPS6KB2					HCK		MIR3150A	KCNJ9		ZNF706			
	SELENBP1								KCTD21					RAC3	GBAP1	WDR19				C19orf55	LPHN3	P2RX6	ASCC1		STAC2				TRAF4				SCN3A	LOC100288778	WAC					SPTBN2					ID1		MIR3150B	KCNJ10		UBR5			
	SETDB1								NDUFC2-KCTD14					RFNG	HDGF	FLJ13197				U2AF1L4	CHIC2	SNAP29	MRPS16		ARL5C				KIAA0100				SCN7A	LOC100292680	APBB1IP					CTSF					EIF6		LOC100616530	LY9		AZIN1			
	SEMA6C													MRPL12	IL6R	NSUN7				SBSN	EXOC1	TXNRD2	DDIT4		LOC100131347				SPAG5				SCN9A	MIR3649	ARMC4					AIP					NNAT		FSBP	MPZ		GRHL2			
	MLLT11													SECTM1	ILF2	TMEM156				KRTDAP	TMEM165	TRMT2A	DNAJB12		MIR4728				SARM1				SSB		MTPAP					PITPNM1					PLAGL2			NDUFS2		NACAP1			
	POGZ													TBCD	KCNN3	TLR10				LOC100506469	DANCR	ZDHHC8	MYOZ1						PPY2				PKP4		PARD3					CCS					RBL1			NHLH1		NCALD			
	RPRD2													SLC16A3	LMNA	FAM114A1					KIAA1211	MED15	SYNPO2L						PYY2				HAT1		KIAA1462					RCE1					RPN2			NIT1		OSR2			
	TMOD4													HGS	MEF2D	KLB					USP46	DGCR8	PLA2G12B						POLDIP2				SLC25A12		C10orf68					CDK2AP2					SNTA1			DDR2		ANKRD46			
	CERS2													ALYREF	MTX1	C4orf34					RASL11B	GNB1L	MCU						WSB1				ABCB11		EPC1					TCIRG1					SPAG4			PFDN2		VPS13B			
	ADAMTSL4													RAB40B	MUC1	LOC344967					SRD5A3	RTN4R	CHCHD1						ERAL1				B3GALT1		LYZL1					RBM14					SRC			PPOX		SNX31			
	C1orf56													AZI1	NPR1	LOC401127					CWH43	C22orf29	ZMYND17						SNORD4B				PPIG		MASTL					KDM2A					TGM2			PEX19		FBXO43			
	GOLPH3L													FSCN2	PKLR	MIR574					FIP1L1	THAP7	TTC18						SNORD4A				CYTIP		ACBD5					CLCF1					GDF5			SDHC		FLJ42969			
	FAM63A													NARF	PRCC	MIR4802					NOA1	TMEM191A	ANAPC16						SNORD42B				TLK1		ARHGAP12					RHOD					EIF2S2			SLAMF1		MIR599			
	CDC42SE1													DCXR	RAB13						HOPX	KLHL22	USP54						SNORD42A				CD302		LYZL2					SUV420H1					CPNE1			UAP1		MIR875			
	CGN													ANAPC11	RIT1						LNX1	DGCR6L	FUT11						TMEM97				TANK		MPP7					CABP2					NFS1			USF1		MIR4471			
	ZNF687													SIRT7	RPS27						SPATA18	RIMBP3	OIT3						PIPOX				DHRS9		CCNY					C11orf24					CBFA2T2			TAGLN2					
	PRUNE													NPLOC4	S100A1						ARL9	SCARF2	FAM149B1						NLK				PSMD14		LOC220906					SSH3					KIF3B			PEA15					
	SCNM1													WDR45L	S100A2						AASDH	MGC16703	C10orf55						C17orf63				KBTBD10		ZNF438					CCDC87					RBM39			B4GALT3					
	TNFAIP8L2													BAHCC1	S100A3						PDCL2	C22orf25	C10orf103						NUFIP2				TBR1		ZEB1-AS1					PPP6R3					TTI1			CD84					
	TARS2													DUS1L	S100A4						LOC152578	LOC150197	AGAP5						TAOK1				GALNT5		CCDC7					CABP4					TM9SF4			FCGR2C					
	SNX27													FN3K	S100A5						SCFD2	AIFM3	BMS1P4						PHF12				COBLL1		MKX					CORO1B					RBM12			DEDD					
	HORMAD1													ASPSCR1	S100A6						GSX2	POM121L4P	MIR1256						RAB34				PLA2R1		PTCHD3					CARNS1					MYL9			ADAMTS4					
	GABPB2													C17orf62	S100A7						TECRL	LOC284865	LOC100507331						IFT20				GCA		LINC00202					POLD4					PROCR			NOS1AP					
	BNIPL													FN3KRP	S100A13						LOC255130	LOC388849	MIR4676						PIGS				GORASP2		LOC387646					LRFN4					MMP24			NR1I3					
	LYSMD1													C17orf101	SHC1						LRRC66	LOC400891							SLC46A1				STK39		LOC387647					C11orf80					BLCAP			DUSP12					
	MIR554													ZNF750	SSR2						LOC401134	MIR185							TLCD1				METTL5		LINC00264					TMEM134					CEP250			ATF6					
	MIR4257													C17orf70	THBS3						RPL21P44	THAP7-AS1							SGK494				BAZ2B		MIR604					UNC93B1					PXMP4			NCSTN					
	TNFAIP8L2-SCNM1													TSPAN10	TPM3						LOC644145	P2RX6P							SEZ6				FIGN		LOC729668					RBM4B					DLGAP4			CCDC19					
														MAFG-AS1	CCT3						SNORA26	TMEM191B							TMEM199				SLC4A10		LOC731789					SYT12					RALY			OLFML2B					
														PPP1R27	DAP3						LOC100144602	PI4KAP1							PROCA1				SPC25		MIR938					ACY3					MAPRE1			USP21					
														SLC38A10	ADAM15						ERVMER34-1	LOC729444							DHRS13				ERMN		LOC100505583					C11orf86					TPX2			DCAF8					
														C17orf56	ARHGEF2						LOC100506462	MIR1286							C17orf108				G6PC2		LOC100507605					NUDT8					NCOA6			F11R					
														B3GNTL1	SLC25A44						LOC100506564	MIR1306							KRT18P55				IFIH1							ANKRD13D					POFUT1			HSD17B7					
														NOTUM	UBAP2L						MIR4449	MIR3618							NEK8				MARCH7							TBX10					SAMHD1			UFC1					
														STRA13	DENND4B							SEPT5-GP1BB							MYO18A				FASTKD1							TBC1D10C					C20orf4			CD244					
														LRRC45	SCAMP3							MIR4761							MIR144				TTC21B							GPR152					TRPC4AP			DUSP23					
														MYADML2	HAX1														TBC1D3P5				METTL8							DOC2GP					REM1			ITLN1					
														NPB	C1orf61														MIR451A				CYBRD1							FAM86C2P					PHF20			SLAMF8					
														CCDC57	PMVK														SEBOX				CSRNP3							LOC100130987					SCAND1			VANGL2					
														HEXDC	FAM189B														SPAG5-AS1				DCAF17							RBM14-RBM4					BPIFA1			IGSF9					
														C17orf89	NES														MIR4523				TANC1							MIR4691					ERGIC3			SLAMF7					
														LINC00482	JTB														MIR451B				KCNH7												CDK5RAP1			PVRL4					
														TMEM105	SLC27A3														MIR4522				DAPL1												UQCC			TOMM40L					
														METRNL	PMF1														MIR4732				NOSTRIN												EDEM2			FCRLA					
														C17orf90	KIAA0907														MIR4723				XIRP2												ACSS2			SLAMF9					
														CCDC137	SYT11														RAB34				BBS5												C20orf24			PIGM					
														ARL16	SMG5																		C2orf77												CTNNBL1			IGSF8					
														FAM195B	SNAPIN																		ACVR1C												NDRG3			SLAMF6					
														FLJ43681	RUSC1																		UBR3												MYH7B			SH2D1B					
														TEX19	C1orf43																		CCDC148												TP53INP2			KLHDC9					
														MIR3186	CHTOP																		MYO3B												RPRD1B			UHMK1					
														MIR4740	SLC39A1																		KLHL23												TGIF2			FCRLB					
															LAMTOR2																		SLC38A11												MANBAL			ITLN2					
															ZBTB7B																		WDSUB1												NECAB3			ARHGAP30					
															RRNAD1																		UPP2												DSN1			C1orf192					
															DPM3																		CERS6												FER1L4			C1orf204					
															GON4L																		SP5												BPIFB2			C1orf111					
															GPATCH4																		LOC440925												HM13			C1orf110					
															MSTO1																		PHOSPHO2												PDRG1			FCRL6					
															YY1AP1																		LOC554201												DYNLRB1			VSIG8					
															UBE2Q1																		SNORA70F												ITCH			C1orf226					
															ASH1L																		LOC100505695												SLA2			SUMO1P3					
															LENEP																		LOC100506124												MAP1LC3A			RPL31P11					
															SLC50A1																		LOC100506134												COX4I2			PCP4L1					
															UBQLN4																		LY75-CD302												ZNF341			MIR556					
															RAB25																		PHOSPHO2-KLHL23												MYLK2			TSTD1					
															RHBG																		MIR4774												BPIFB1			LOC100505633					
															ATP8B2																		MIR4785												VSTM2L			MIR4654					
															PBXIP1																		LOC100861402												DUSP15								
															S100A14																														TSPY26P								
															GATAD2B																														BPIFB6								
															HCN3																														BPIFA3								
															HAPLN2																														C20orf144								
															BCAN																														CHMP4B								
															SEMA4A																														PIGU								
															INTS3																														HMGB3P1								
															MRPL24																														FAM83C								
															PAQR6																														BPIFA2								
															TRIM46																														C20orf112								
															FLAD1																														C20orf132								
															ISG20L2																														C20orf160								
															TMEM79																														KIAA0889								
															AQP10																														C20orf118								
															PYGO2																														SUN5								
															NUP210L																														ROMO1								
															MEX3A																														C20orf173								
															C1orf85																														LINC00028								
															TDRD10																														C20orf152								
															SHE																														LOC149950								
															DCST2																														COMMD7								
															C1orf182																														BPIFB4								
															IQGAP3																														TTLL9								
															APOA1BP																														ACTL10								
															S100A16																														ASXL1								
															CREB3L4																														DEFB123								
															DCST1																														DEFB124								
															TTC24																														C20orf203								
															KRTCAP2																														BPIFA4P								
															CRTC2																														XKR7								
															RUSC1-AS1																														BPIFB3								
															RXFP4																														MIR499A								
															C1orf189																														LOC647979								
															VHLL																														MIR644A								
															MIR9-1																														PSIMCT-1								
															LOC645676																														LOC100287792								
															POU5F1P4																														MIR3193								
															SCARNA4																														TGIF2-C20ORF24								
															SNORA42																														MIR499B								
															MIR555																														MIR4755								
															MIR92B																																						
															MIR190B																																						
															MSTO2P																																						
															MIR4258																																						
															LOC100505666																																						
															PMF1-BGLAP																																						
