cytoband	9p21.3	4q35.2	8p11.22	8p23.2	2q22.1	15q26.1	1p13.2	18q23	9p23	3p12.1	5q13.3	7q11.22	15q11.2	
		HELT		UBXN8			CD52	RTTN		PTPRG	DBN1		SNORD116-6	
		LOC401164		TNKS			RCC1	TPGS2		QARS	DMXL1		SNORD116-7	
		FAM92A3		ADAM7			CHI3L2	SETBP1		ROBO1	DHFR		SNORD116-8	
		HSP90AA6P		TNFRSF10D			CLCA1	KCNG2		ROBO2	DIAPH1		SNORD116-9	
		C4orf47		TNFRSF10C			CLCN6	SNORD58B		RPL29	DOCK2		SNORD116-10	
		GALNTL6		TNFRSF10B			CLCNKA	SNORD58A		ATXN7	DPYSL3		SNORD116-11	
		SLED1		TNFRSF10A			CLCNKB	SALL3		SEMA3F	DRD1		SNORD116-12	
		FLJ38576		FGF17			PLK3	CDH20		SMARCC1	SLC26A2		SNORD116-13	
		LINC00290		DOK2			CNN3	CDH19		NEK4	HBEGF		SNORD116-14	
		LOC728175		MTMR7			CNR2	TIMM21		TCTA	DUSP1		SNORD116-15	
		LOC731424		MYOM2			COL8A2	ST8SIA5		TDGF1	EBF1		SNORD116-16	
		CLDN24		DLGAP2			COL9A2	RAX		TGM4	EFNA5		SNORD116-17	
		MIR1305		MFHAS1			COL11A1	CXXC1		TKT	EGR1		SNORD116-18	
		MIR4276		ENTPD4			COL16A1	ST8SIA3		TMF1	ETF1		SNORD116-20	
		MIR3945		ARHGEF10			CORT	IER3IP1		CLEC3B	F2R		SNORD116-21	
		LOC100506085		PHYHIP			CPT2	TCEB3B		TNNC1	F2RL1		SNORD116-22	
		LOC100506122		KBTBD11			CRYZ	MEX3C		UBA7	F2RL2		SNORD116-23	
		LOC100506229		SORBS3			CSF1	TMX3		USP4	F12		SNORD116-24	
				NPM2			CSF3R	DYM		UQCRC1	FABP6		SNORD116-25	
				DLC1			CTBS	ZCCHC2		WNT5A	FAT2		SNORD115-2	
				SPAG11B			CTH	ZNF532		ZNF35	FBN2		SNORD116-26	
				DCTN6			CTPS	ELAC1		IFRD2	FER		SNORD116-27	
				PNMA2			CYP2J2	ZNF407		MAPKAPK3	FGF1		SNORD115-3	
				ADAM28			CYP4A11	CNDP2		SEMA3B	FGFR4		SNORD115-4	
				RBPMS			CYP4B1	CELF4		SLMAP	FOXD1		SNORD115-5	
				LZTS1			DAB1	KIAA1328		MANF	FOXI1		SNORD115-6	
				XPO7			DBT	KIAA1468		ACOX2	FLT4		SNORD115-7	
				TRIM35			GADD45A	EPG5		BAP1	GABRA1		SNORD115-8	
				RHOBTB2			DDOST	CCDC102B		HYAL3	GABRA6		SNORD115-9	
				KIF13B			DFFA	RBFA		CGGBP1	GABRB2		SNORD115-10	
				PSD3			DHCR24	PQLC1		CADPS	GABRG2		SNORD115-11	
				LEPROTL1			DIO1	FHOD3		HYAL2	GABRP		SNORD115-12	
				SLC39A14			DPH2	CCDC68		SUCLG2	GDF9		SNORD115-13	
				FBXO25			DPYD	NETO1		HESX1	GFRA3		SNORD115-14	
				FGF20			DR1	KATNAL2		BSN	GLRA1		SNORD115-15	
				ADAMDEC1			E2F2	MRO		LIMD1	GLRX		SNORD115-16	
				CNOT7			ECE1	HDHD2		CCRL2	GM2A		SNORD115-17	
				PURG			S1PR1	PARD6G		UBA3	GRK6		SNORD115-18	
				ZDHHC2			EDN2	CNDP1		SEC22C	GPX3		SNORD115-19	
				SLC25A37			PHC2	SERPINB12		RRP9	GRIA1		SNORD115-20	
				SCARA3			CELSR2	SERPINB11		MAGI1	NR3C1		SNORD115-21	
				TMEM66			EPHA2	SEC11C		CACNA2D2	GRM6		SNORD115-22	
				KCTD9			ELAVL4	DSEL		VPRBP	GTF2H2		SNORD115-23	
				PINX1			ENO1	HAUS1		IP6K1	GZMA		SNORD115-25	
				PIWIL2			EPB41	ALPK2		PSMD6	GZMK		SNORD115-26	
				ELP3			EPHA8	LOXHD1		PARP3	HARS		SNORD115-29	
				INTS10			EPHB2	FAM69C		ZNF197	HEXB		SNORD115-30	
				CCDC25			EPS15	STARD6		RBM6	HINT1		SNORD115-31	
				AGPAT5			EXTL1	C18orf25		RBM5	HK3		SNORD115-32	
				INTS9			EXTL2	CCBE1		NME6	HMGCR		SNORD115-33	
				CSGALNACT1			EYA3	CBLN2		TRAIP	HMMR		SNORD115-34	
				HR			F3	C18orf54		ARIH2	HNRNPAB		SNORD115-35	
				PBK			FAAH	TCEB3C		ARL6IP5	HNRNPH1		SNORD115-36	
				ZNF395			FABP3	FBXO15		NPRL2	HRH2		SNORD115-37	
				DEFB103B			FCGR1B	ZBTB7C		CXCR6	HSD17B4		SNORD115-38	
				BIN3			FGR	SKA1		CSPG5	HSPA4		SNORD115-39	
				TEX15			FHL3	CCDC11		CCR9	HSPA9		SNORD115-40	
				MTUS1			FOXE3	DOK6		USP19	NDST1		SNORD115-41	
				KIAA1456			FOXD2	RNF152		SLC38A3	HTR1A		SNORD115-42	
				KIAA1967			MTOR	LINC00305		CYB561D2	HTR4		SNORD115-43	
				SH2D4A			FUCA1	C18orf26		TMEM115	IK		SNORD115-44	
				PDLIM2			IFI6	BOD1P		RPP14	IL3		SNORD116-28	
				CSMD1			GALE	LOC284260		FAM107A	IL4		SNORD116-29	
				EBF2			GBP1	SIGLEC15		WDR6	IL5		SNORD115-48	
				FAM160B2			GBP2	ZADH2		RASSF1	IL6ST		SNORD115-24	
				MTMR9			GBP3	C18orf62		NISCH	IL9		SNORD115-27	
				HMBOX1			GFI1	LOC284276		TREX1	IL12B		SNORD115-28	
				MCPH1			GJA4	HMSD		TUSC2	IL13		SNORD115-45	
				PPP1R3B			GJB3	LOC284294		TWF2	IRF1		SNORD115-47	
				NUDT18			GJB5	LOC339298		DHX30	ISL1		LOC100128714	
				DOCK5			GCLM	CPLX4		SACM1L	ITGA1		HERC2P7	
				FLJ14107			GNAI3	ATP9B		SCAP	ITGA2		GOLGA8F	
				REEP4			GNAT2	LOC390858		LAMB2P1	ITK		GOLGA8DP	
				STMN4			GNG5	LOC400654		EXOSC7	KCNMB1		LOC100289656	
				SOX7			SFN	LOC400655		PDZRN3	KCNN2		MIR4509-1	
				FAM167A			GPR3	LOC400657		RAD54L2	KIF2A		MIR4509-2	
				SLC35G5			GPX7	MIR122		FRMD4B	TNPO1		MIR4508	
				LINC00208			GRIK3	HSBP1L1		STAB1	LCP2		MIR4509-3	
				C8orf12			GSTM1	RNF165		NBEAL2	LECT2		MIR4715	
				FAM86B1			GSTM2	C18orf32		FAM208A	LMNB1			
				ERI1			GSTM3	KC6		KLHL18	LNPEP			
				LONRF1			GSTM4	LOC643542		LARS2	LOX			
				CHMP7			GSTM5	C18orf63		RYBP	LTC4S			
				RP1L1			GTF2B	LOC647946		NAT6	CD180			
				CLDN23			GUCA2A	SCARNA17		ABHD14A	SMAD5			
				VPS37A			GUCA2B	SNORA37		POC1A	MAN2A1			
				NKX2-6			HCRTR1	TCEB3CL		TMEM158	MAP1B			
				SGCZ			HDAC1	SNORD58C		NDUFAF3	MCC			
				DEFB104A			HMGN2	LOC100130522		PTPN23	MEF2C			
				LOC157273			HMGCL	LOC100131655		CHMP2B	MAP3K1			
				SGK223			HMGCS2	LOC100287225		DNAH1	MFAP3			
				PEBP4			HPCA	MIR1539		HIGD1A	MGAT1			
				CDCA2			HSD3B1	MIR4319		LRIG1	MOCS2			
				ESCO2			HSD3B2	MIR4318		ERC2	MSH3			
				FBXO16			IGSF3	MIR4320		APPL1	MSX2			
				LOC157627			HSPG2	LOC100505474		GNL3	NAIP			
				C8orf42			HTR1D	LOC100505549		FOXP1	NDUFA2			
				ERICH1			HTR6	LOC100505776		SPCS1	NDUFS4			
				TDH			ID3	LOC100505817		SETD2	NEUROG1			
				C8orf48			CYR61	LOC100506888		PRSS50	NPM1			
				ZNF596			IL12RB2	RPL17-C18ORF32		RBM15B	NPY6R			
				DEFT1P			INPP5B	MIR4529		GMPPB	PAM			
				R3HCC1			IPP	MIR3591		ARHGEF3	PCDH1			
				PRSS55			JAK1	MIR4743		ABHD5	PCDHGC3			
				C8orf74			JUN	MIR4744		C3orf18	PCSK1			
				LGI3			KCNA2			SS18L2	PDE4D			
				DEFB105A			KCNA3			SHISA5	PDE6A			
				DEFB106A			KCNA10			ZDHHC3	PDGFRB			
				DEFB107A			KCNC4			ZMYND10	PFDN1			
				DEFB109P1			KCND3			TEX264	PGGT1B			
				DEFB130			STMN1			CCDC72	PIK3R1			
				NEIL2			LCK			ZNF589	PITX1			
				LOC254896			LEPR			HEMK1	PMCHL2			
				FLJ10661			TACSTD2			IP6K2	POU4F3			
				XKR6			MAGOH			SFMBT1	PPIC			
				LOC286059			MATN1			NCKIPSD	PPP2CA			
				LOC286083			MFAP2			PHF7	PPP2R2B			
				EFHA2			MOV10			TLR9	MAPK9			
				LOC286114			MPL			LZTFL1	PROP1			
				SCARA5			MSH4			P4HTM	PURA			
				LOC286135			MTF1			SLC6A20	RAD17			
				LOC340357			MTHFR			IL17RD	RARS			
				LOC349196			MUTYH			C3orf75	RASA1			
				USP17L2			MYCL1			SNRK	RASGRF2			
				XKR5			NASP			QRICH1	RPS14			
				FAM90A25P			NBL1			PXK	RPS23			
				LOC389641			NDUFS5			FEZF2	SGCD			
				C8orf80			NFIA			EBLN2	SKP1			
				LOC392196			NFYC			ANO10	SLC6A7			
				MIR124-1			NGF			DALRD3	SLC12A2			
				MIR320A			NHLH2			SHQ1	SLC34A1			
				DEFB103A			NOTCH2			PBRM1	SLC22A4			
				OR4F21			NPPA			ZNF654	SLC22A5			
				FAM90A13			NPPB			CHDH	SLIT3			
				FAM90A5			NRAS			IL17RB	SMN1			
				FAM90A7			NRD1			CACNA2D3	SMN2			
				FAM90A8			YBX1			DCP1A	SNCB			
				FAM90A18			ROR1			GLT8D1	SNX2			
				FAM90A9			OPRD1			ZNF167	SPARC			
				FAM90A10			ORC1			LMOD3	SPINK1			
				DEFA10P			OVGP1			SEMA3G	SPOCK1			
				MIR383			PAFAH2			KIF15	SRP19			
				DEFB107B			PRDX1			ADAMTS9	STK10			
				DEFB104B			PAX7			PCBP4	TAF7			
				DEFB106B			PDE4B			ABHD6	TAF9			
				DEFB105B			PEX14			LRTM1	TBCA			
				C8orf58			PGD			C3orf14	TCF7			
				DEFB135			PGM1			KIAA1143	ZNF354A			
				DEFB136			PIK3CD			HHATL	TCOF1			
				DEFB134			PIN1P1			SELK	NR2F1			
				C8orf75			PLA2G2A			PROK2	TGFBI			
				MBOAT4			PLA2G5			RNF123	THBS4			
				DEFB109P1B			PLOD1			KIF9	TTC1			
				RPL23AP53			EXOSC10			CDCP1	UBE2B			
				FAM90A14			POU3F1			CCDC71	UBE2D2			
				FAM86B2			PPP1R8			NT5DC2	VDAC1			
				SPAG11A			PPT1			SLC26A6	WNT8A			
				MIR596			PRKAA2			CAMKV	XRCC4			
				MIR597			PRKACB			LRRC2	ST8SIA4			
				MIR598			PKN2			FYCO1	REEP5			
				DEFA1B			PSMA5			CCDC51	SERF1A			
				FAM90A20			PSMB2			THOC7	NME5			
				FAM90A19			PTAFR			WDR82	ENC1			
				ZNF705D			PTGER3			RTP3	AP3B1			
				LOC100128750			PTGFR			ID2B	PDLIM4			
				FAM66B			PTGFRN			ATRIP	PPAP2A			
				LOC100128993			PTPRF			NICN1	STC2			
				ZNF705G			ABCD3			MON1A	PDE8B			
				FAM66E			RAB3B			KBTBD8	EIF4EBP3			
				LOC100132396			RABGGTB			ABHD14B	PCDHGB4			
				FAM66D			RAP1A			C3orf39	CDC23			
				FAM66A			RAP1GAP			UCN2	ADAM19			
				LOC100133267			RBBP4			ZNF502	FGF18			
				LOC100287015			RHCE			RFT1	HDAC3			
				DEFT1P2			RHD			ZBTB47	SQSTM1			
				DEFB4B			RLF			ACTR8	P4HA2			
				MIR1322			SNORD21			SLC25A26	HSPB3			
				MIR548I3			RPA2			ZNF501	ATP6V0E1			
				MIR4287			RPE65			GPR62	ATG12			
				MIR3148			RPL5			FAM3D	PTTG1			
				MIR4288			RPL11			KBTBD5	PDLIM7			
				MIR3926-2			RPS6KA1			TMEM42	NREP			
				MIR3622A			RPS8			IQCF1	CNOT8			
				MIR3926-1			RSC1A1			GLYCTK	RAB9BP1			
				MIR3622B			SORT1			PPM1M	HAND1			
				LOC100506990			SARS			C3orf49	MED7			
				LOC100507156			SCP2			SNTN	HOMER1			
				LOC100507341			SDHB			SYNPR	MYOT			
				MIR548O2			SFPQ			C3orf45	ADAMTS2			
				MIR4659A			SRSF4			ASB14	SCAMP1			
				MIR4660			ST3GAL3			FAM19A4	NRG2			
				MIR4659B			STIL			CCDC12	CXCL14			
				LOC100652791			SLC1A7			PPP4R2	H2AFY			
							SLC2A1			CCDC13	SMAD5-AS1			
							SLC2A5			PRICKLE2	RNF14			
							SLC6A9			C3orf67	CARTPT			
							SLC9A1			KCTD6	SNCAIP			
							SLC16A1			KLHDC8B	TTC37			
							SRM			LOC201617	CLINT1			
							STXBP3			DNAH12	PCDHGA8			
							SYCP1			PDE12	PCDHA9			
							TAF12			FAM116A	ZFYVE16			
							TAF13			CADM2	MATR3			
							TAL1			ALS2CL	MAML1			
							TBX15			TMIE	KIAA0141			
							TCEA3			C3orf64	JAKMIP2			
							TCEB3			FBXW12	PJA2			
							TGFBR3			C3orf38	DDX46			
							TIE1			CCDC66	GFPT2			
							TNFRSF1B			C3orf23	SLC23A1			
							TSHB			ZNF660	GNPDA1			
							TTC4			FLJ39534	SRA1			
							UQCRH			LOC285401	EDIL3			
							UROD			EIF4E3	COL4A3BP			
							USP1			CCDC36	RAD50			
							VCAM1			PRSS42	KIF20A			
							WNT2B			ZNF445	G3BP1			
							ZSCAN20			SPATA12	LHFPL2			
							ZBTB17			C3orf77	CWC27			
							SLC30A2			C3orf62	APBB3			
							LUZP1			TMEM110	CCNO			
							PRDM2			PRSS45	TNIP1			
							DNALI1			AMIGO3	GNB2L1			
							LRP8			ZNF662	NSA2			
							LAPTM5			CDHR4	FST			
							BSND			FAM212A	SLU7			
							CSDE1			IQCF2	POLR3G			
							EVI5			IQCF5	RGS14			
							PTP4A2			MUSTN1	PLK2			
							ARID1A			VGLL3	IQGAP2			
							CDC7			IQCF3	SEC24A			
							BCAR3			LOC401074	CPLX2			
							SNHG3			MIRLET7G	C5orf4			
							NR0B2			MIR135A1	FAM114A2			
							RAD54L			MIR138-1	BRD8			
							TTF2			MIR191	TCERG1			
							PIK3R3			FAM19A1	BTNL3			
							LMO4			TMEM89	HNRNPA0			
							FCN3			IQCF6	LMAN2			
							CDC14A			C3orf78	SPINK5			
							YARS			LOC440970	SMA4			
							MKNK1			MIR425	SMA5			
							AKR7A2			LOC644714	SOX30			
							PPAP2B			SPINK8	ESM1			
							RTCD1			C3orf71	KIF3A			
							PTCH2			LOC646498	ADAMTS6			
							ALDH4A1			FLJ20518	MGAT4B			
							EIF3I			SNORD19	B4GALT7			
							EIF4G3			FAM86DP	SYNPO			
							B4GALT2			SNORD69	RHOBTB3			
							PABPC4			MIR548A2	RNF44			
							FPGT			MIR564	ABLIM3			
							FUBP1			GXYLT2	ELL2			
							EIF2B3			FAM198A	SV2C			
							BCL10			CCR2	HMGXB3			
							ARTN			ESRG	TBC1D9B			
							MAP3K6			SNORD19B	ARHGAP26			
							DIRAS3			C3orf74	FSTL4			
							SLC16A4			NRADDP	MRPS27			
							KCNQ4			ZNF717	ATP10B			
							ZMYM4			LOC100132146	N4BP3			
							ZMYM6			BSN-AS2	SEPT8			
							DHRS3			PRSS46	FAF2			
							SRSF11			LOC100287879	PPIP5K2			
							ZFYVE9			FRG2C	WWC1			
							CD101			MIR1284	FBXW11			
							SEP15			MIR1324	ACSL6			
							ZRANB2			MIR1226	PHF15			
							SNRNP40			MIR711	LARP1			
							ARHGAP29			MIR3136	PPWD1			
							C1orf38			MIR4272	HARS2			
							TMEM59			MIR4271	OTP			
							SEC22B			MIR4273	SKIV2L2			
							H6PD			MIR3938	ZNF346			
							CLCA3P			KRBOX1	SSBP2			
							CLCA2			IQCF4	BHMT2			
							HS2ST1			LOC100506994	TNFAIP8			
							PDE4DIP			LOC100507062	PART1			
							IPO13			ADAMTS9-AS2	GEMIN5			
							SDC3			ABHD14A-ACY1	PCDHGA12			
							KDM4A			TMEM110-MUSTN1	LRRTM2			
							CROCC			MIR4793	FAM169A			
							PUM1			MIR4787	CCDC69			
							RIMS3			MIR4795	PCDHB5			
							KIAA0494			MIR4444-1	FBXL21			
							DNAJC6			MIR4443	KLHL3			
							LRIG2			LOC100652759	TSPAN17			
							LPPR4			LUST	OR4F3			
							ZBTB40				HAVCR1			
							MFN2				SNORD63			
							THRAP3				SNORA74A			
							INSL5				RNU5E-1			
							PIGK				RNU5D-1			
							PTPRU				CYFIP2			
							TSPAN2				PKD2L2			
							TSPAN1				UQCRQ			
							CELA3A				AFF4			
							PDZK1IP1				PRELID1			
							WASF2				IL17B			
							INADL				DIMT1			
							ANGPTL7				MAT2B			
							HNRNPR				SLC27A6			
							SRRM1				SNX24			
							CNKSR1				MRPL22			
							ZMPSTE24				PCDHB1			
							UBE4B				DMGDH			
							BCAS2				TLX3			
							AKR1A1				KCNIP1			
							WARS2				ZNF354C			
							CEPT1				TMED7			
							TESK2				ISOC1			
							PPIE				RPL26L1			
							VAV3				SAR1B			
							MAD2L2				C5orf45			
							PPIH				DCTN4			
							CAP1				IPO11			
							LRRC41				MZB1			
							HBXIP				PAIP2			
							IFI44				CDKL3			
							PDPN				PCDH12			
							KHDRBS1				GCNT4			
							GMEB1				FAM13B			
							AP4B1				FAM53C			
							NUDC				REEP2			
							PHTF1				PRR16			
							MASP2				COMMD10			
							AHCYL1				POLK			
							SRSF10				DDX41			
							WDR3				NOP16			
							MAN1A2				LARS			
							SF3A3				CXXC5			
							IFI44L				HMP19			
							EBNA1BP2				UIMC1			
							KIF2C				RAPGEF6			
							DNAJB4				ERAP1			
							ADAM30				KDM3B			
							RCAN3				PHAX			
							FAF1				RAB24			
							GLMN				PELO			
							HHLA3				RBM27			
							MST1P2				NEURL1B			
							DDX20				DHX29			
							MST1P9				FLJ11235			
							PADI2				DDX4			
							LYPLA2				FAM193B			
							PARK7				SGTB			
							CTRC				ARL15			
							CLCA4				PCDHB18			
							MTF2				PCDHB17			
							DNAJC8				TMED9			
							NTNG1				ZCCHC10			
							CLSTN1				CDHR2			
							FOXJ3				GIN1			
							WDR47				WDR55			
							SCMH1				ANKHD1			
							AKR7A3				CCDC99			
							TTC39A				THG1L			
							SPEN				AGGF1			
							KDM1A				WDR41			
							USP33				TMCO6			
							WDTC1				TRIM36			
							KIAA0090				GALNT10			
							KIF1B				NHP2			
							MAST2				RBM22			
							NCDN				RIOK2			
							CLCC1				DEPDC1B			
							SLC35D1				BDP1			
							PLEKHM2				RNF130			
							OTUD3				ERBB2IP			
							KAZN				PCDHGC5			
							LPHN2				PCDHGC4			
							KIAA1107				PCDHGB7			
							ZCCHC11				PCDHGB6			
							SZT2				PCDHGB5			
							DNAJC16				PCDHGB3			
